2025-04-26 21:48:04.169 [traceId=] [main] INFO  com.sky.SkyApplication - Starting SkyApplication using Java 17.0.14 on WIN-3CKH1M7OQQJ with PID 16740 (C:\Users\Administrator\Desktop\JavaTest\sky-take-out\sky-server\target\classes started by Administrator in C:\Users\Administrator\Desktop\JavaTest\sky-take-out)
2025-04-26 21:48:04.179 [traceId=] [main] INFO  com.sky.SkyApplication - The following 1 profile is active: "dev"
2025-04-26 21:48:06.070 [traceId=] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-04-26 21:48:06.075 [traceId=] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-04-26 21:48:06.118 [traceId=] [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
2025-04-26 21:48:07.268 [traceId=] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-04-26 21:48:07.290 [traceId=] [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-04-26 21:48:07.290 [traceId=] [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-04-26 21:48:07.291 [traceId=] [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2025-04-26 21:48:07.476 [traceId=] [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-04-26 21:48:07.476 [traceId=] [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3227 ms
2025-04-26 21:48:07.716 [traceId=] [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-04-26 21:48:07.848 [traceId=] [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-04-26 21:48:08.102 [traceId=] [main] INFO  com.sky.config.MinioConfiguration - 加载minio配置值：MinioProperties(endpoint=http://localhost:9000, accessKey=minioadmin, secretKey=minioadmin, bucketName=mybucket)
2025-04-26 21:48:08.994 [traceId=] [main] INFO  com.sky.config.WebMvcConfiguration - 开始注册自定义拦截器...
2025-04-26 21:48:09.947 [traceId=] [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-04-26 21:48:09.975 [traceId=] [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-04-26 21:48:10.428 [traceId=] [main] INFO  com.sky.SkyApplication - Started SkyApplication in 7.134 seconds (JVM running for 8.624)
2025-04-26 21:48:10.428 [traceId=] [main] INFO  com.sky.SkyApplication - server started
